id,rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,runtime,genre,imdb_rating,poster_path,created_at
1,1,肖申克的救赎,The Shawshank Redemption,9.7,3285673,弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,导演: 弗兰克·德拉邦特 Frank Darabont   蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,https://movie.douban.com/subject/1292052/,1994,142分钟,剧情 / 犯罪,1.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\001_肖申克的救赎.jpg,2026-05-13 14:52:19
2,2,霸王别姬,,9.6,2424174,陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,导演: 陈凯歌 Kaige Chen   张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,https://movie.douban.com/subject/1291546/,1993,171分钟,剧情 / 爱情 / 同性,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\002_霸王别姬.jpg,2026-05-13 14:52:19
3,3,泰坦尼克号,Titanic,9.5,2499477,詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,导演: 詹姆斯·卡梅隆 James Cameron   莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。,https://movie.douban.com/subject/1292722/,1998,194分钟,剧情 / 爱情 / 灾难,8.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\003_泰坦尼克号.jpg,2026-05-13 14:52:19
4,4,阿甘正传,Forrest Gump,9.5,2431196,罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,导演: 罗伯特·泽米吉斯 Robert Zemeckis   汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,https://movie.douban.com/subject/1292720/,1994,142分钟,剧情 / 爱情,0.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\004_阿甘正传.jpg,2026-05-13 14:52:19
5,5,千与千寻,千と千尋の神隠し,9.4,2537891,宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,导演: 宫崎骏 Hayao Miyazaki   柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/,2019,125分钟,剧情 / 动画 / 奇幻,9.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\005_千与千寻.jpg,2026-05-13 14:52:19
6,6,美丽人生,La vita è bella,9.5,1482849,罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,导演: 罗伯托·贝尼尼 Roberto Benigni   罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,https://movie.douban.com/subject/1292063/,2020,116分钟(国际版),剧情 / 喜剧 / 爱情 / 战争,9.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\006_美丽人生.jpg,2026-05-13 14:52:19
7,7,星际穿越,Interstellar,9.4,2184816,克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,导演: 克里斯托弗·诺兰 Christopher Nolan   马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,2014,169分钟,剧情 / 科幻 / 冒险,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\007_星际穿越.jpg,2026-05-13 14:52:19
8,8,这个杀手不太冷,Léon,9.4,2553116,吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,导演: 吕克·贝松 Luc Besson   让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,2024,133分钟(中国大陆),剧情 / 动作 / 犯罪,3.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\008_这个杀手不太冷.jpg,2026-05-13 14:52:19
9,9,盗梦空间,Inception,9.4,2326335,克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,导演: 克里斯托弗·诺兰 Christopher Nolan   莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,2010,148分钟,剧情 / 科幻 / 悬疑 / 冒险,6.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\009_盗梦空间.jpg,2026-05-13 14:52:19
10,10,楚门的世界,The Truman Show,9.4,2020194,彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,导演: 彼得·威尔 Peter Weir   金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,1998,103分钟,剧情 / 科幻,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\010_楚门的世界.jpg,2026-05-13 14:52:19
11,11,辛德勒的名单,Schindler's List,9.5,1247624,史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,1993,195分钟,剧情 / 历史 / 战争,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\011_辛德勒的名单.jpg,2026-05-13 14:52:19
12,12,忠犬八公的故事,Hachi: A Dog's Tale,9.4,1543769,莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,导演: 莱塞·霍尔斯道姆 Lasse Hallström   理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,2009,93分钟,剧情,2.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\012_忠犬八公的故事.jpg,2026-05-13 14:52:19
13,13,海上钢琴师,La leggenda del pianista sull'oceano,9.3,1880213,朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,https://movie.douban.com/subject/1292001/,2019,120分钟(国际版),剧情 / 音乐,1.0,C:\Users\项玉婷\Desktop\douban-movie-crawler-250\posters\013_海上钢琴师.jpg,2026-05-13 14:52:19
